tissueType,tissueType2,cellName,geneSymbolmore1,geneSymbolmore2,shortName
any,Eye,Tachykinin GABAergic amacrine cells,"Pax6,Tfap2a,Gad2,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS, ISL1,Gad1,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,Nr4a2,Ngn2,C1ql2,Reln,ZPF58,Cdh4,Grik4,Grm8,Slit2,SCGN ",,Tachykinin GABAergic ACs
any,Eye,Starburst amacrine cells,"Pax6,Tfap2a,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,GAD1,CHAT,SLC5A7",,Starburst ACs
any,Kidney,Cancer stem cells,EPCAM,,CSCs
any,Kidney,Immune cells,"CD19,IGHA2,IGHG3,IGHM,IGKC,JCHAIN,CD40,CD79A,CPNE5,FCRL5,HLA-DRA,IGHA1,IGHG1,IGHG2,IGKV1-12,IGLC2,IGLC3,IGLC7,IGLL5,MS4A1,MZB1,PKHD1L1,PNOC,POU2AF1,TNFRSF13C,CD3D,TRAC,IL7R,CD3E,CD8A,TRBC2,CD52,FCGR3A,IL32,KLRD1,CD68,CXCL8,FCGR3B,MNDA,KIT,PTGS2,SLC18A2,Trac,Ltb,Cd52,Trbc2,Shisa5",,Immune
any,Kidney,_-intercalated cells (Collecting duct system),"FOXI1,OXGR1,ATP6V1G3,AQP6,CA2,NR1I4,SLC4A1,RHCG,ATP6V1B1,AVPR1A,P2RY14,FXYD2,TMEM213,CA2,DMRT2",,_-intercalated
any,Kidney,_-intercalated cells (Collecting duct system),"FOXI1,OXGR1,ATP6V1G3,SLC26A4,CA2,NR1I4,RHCG,ATP6V1B1,AVPR1A,INSRR,FXYD2,TMEM213,CA2,AP1S3",,_-intercalated cells
any,Kidney,Loop of Henle cells,"UMOD,AQP1,IRX1,IRX2,IRX3,MECOM,POU3F3,TBC1D4,SLC12A1,DEFB1,GEM,RGS5,CYP4B1,DRAM1,NEK6,CDKN1C,CALCRL,CLCNKA,CRYAB,SPP1,PPP1R1B,LRRC66,IGF1,CLDN1,CLDN10",,Henle loop
any,Kidney,Mesangial cells,"PDGFRB,PDGFB,LAMA4,ITGA8,LGALS1,ARID5B,CCR7,FN1,GATA3,PAWR,SERPINE2,TBX18,TEK,THY1,REN,ZEB2",,Mesangial cells
any,Kidney,Podocytes,"NPHS1,NPHS2,EZR,TDRD5,SEMA3G,SEMA5A,SEMA3E,PLA2R1,COL4A4,ARHGAP24,WT1,COL4A3,RHPN1,MAFB,PODXL,CLIC5,CD2AP,NOTCH2",,Podocytes
any,Kidney,Principal cells (Collecting duct system),"KCNE1,APELA,AQP2,AQP3,GATA3,ELF5,STC1,TBX3,CLDN4,KCNJ1,AVPR2,FXYD4,HSD11B2,SCNN1G",,Principal
any,Kidney,Inner Medullary cells (Collecting duct system),"S100A4,PLEKHB1,ALDH1A3,TM6SF1,SLC14A2",,IM
any,Kidney,Proximal tubule cells,"FXYD2,ATP1B1,SLC3A1,CUBN,PDZK1,LRP2,POU3F3,AGXT2,GSTA2,CYP2E1,CRYL1,GLYAT,SORD,UPB1,SOD3,HNF4A,CDKN3,NAPSA,SLC7A13,SLC17A3,HGD",,PT
any,Kidney,Cap mesenchyme cells (Mesenchymal cells),"SIX2,ITGA8,NR2F2,EYA1,MEIS2,CITED1,MUC1,NOTCH2",,Cap mesenchyme
any,Kidney,Endothelial cells,"TGFBR2,NOTCH4,ADGRL4,EMCN,ENG,PECAM1,PLAC8,PLVAP,TEK,KDR,VWF,MMRN1,CD93",,Endothelial
any,Kidney,Stromal cells,"MEIS1,TCF21,COL1A2,COL3A1,TNC,COL6A3,LGALS1",,Stromal
any,Kidney,Juxtaglomerular cells,"REN,CRIP1",,Juxtaglomerular
any,Kidney,Renal interstitium (Mesenchymal cells),"SFRP1,MEIS1,PDGFRA,C7,MGP",,Renal interstitium
any,Kidney,Connecting tubule cells,"CALB1,TRPV5,FXYD2,ATP6V1B1,SLC8A1",,Connecting tubule
any,Kidney,Distal tubule cells,"KLK1,KCNJ1,KL,EGF,TMEM213,TMEM52B,SOSTDC1,SLC12A3,EMX1,CLDN3,CLDN8,UMOD,PCOLCE,CDC42EP3,CLCNKB,FXYD2,POU3F3",,Distal tubule
any,Kidney,Hematopoietic cells,"CORO1A,MNDA,SRGN,HLA-DPA1,LST1",,HCs
any,Kidney,Ureteric Bud cells,"GFRA1,RET,WNT9B,CLDN6,LAMA1,NMU,Wnt11 ,Etv4, WNT7B",,UB
any,Kidney,Renal Vesicle cells,"NCAM1,EMX2,LHX1,BMP2,DKK1,DLL1,GREB1,PAPSS2,PCSK9,POU3F3,TMEM100,WT1",,RV
any,Kidney,Cancer stem cells,EPCAM,,CSCs
any,Brain,Astrocytes,"GFAP,SLC1A3,SLC1A2,GLUL,S100B,ALDH1L1,AQP4,IGFBP3,ATP13A4,CBS,SOX9,CD40,CD80,CD86,C5AR1",,Astrocytes
any,Brain,Cholinergic neurons,"CHAT,SLC18A3,ACHE",,Cholinergic neurons
any,Brain,Dopaminergic neurons,"TH,SLC6A3,FOXA2,KCNJ6,NR4A2,LMX1B,DBH,SLC6A2,PPP1R1B",,Dopaminergic neurons
any,Brain,Endothelial cells,"PECAM1,VWF,A2M,APOLD1,FLT1,TM4SF1,CD34,MCAM,ENG,PTPRC,VCAM1,CDH5",,Endothelial
any,Brain,GABAergic neurons,"SLC6A1,GABBR1,GABBR2,GAD2,GAD1,SLC32A1",,GABAergic neurons
any,Brain,Glutamatergic neurons,"SLC17A7,SLC17A6,GRIN1,GRIN2B,GLS,GLUL,GRIN2A",,Glutamatergic neurons
any,Brain,Immature neurons,"DCX,NEUROD1,TBR1,STMN1,NCAM1,TUBB3",,Immature neurons
any,Brain,Immune system cells,"MS4A1,CCR6,CXCR3,CD4,IL2RA,ISG20,TNFRSF8,Trac,Ltb,Cd52",,Immune system
any,Brain,Mature neurons,"RBFOX3,MAP2,SYP,DLG4,TUBB3,MAPT,INA,GAP43,NRP1",,Mature neurons
any,Brain,Microglial cells,"P2RY12,ITGAM,CD40,PTPRC,CD68,AIF1,CX3CR1,TMEM119,ADGRE1,C1QA,NOS2,TNF,ISYNA1,CCL4,ADORA3,ADRB2,BHLHE41,BIN1,KLF2,NAV3,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1",,Microglial
any,Brain,Myelinating Schwann cells,"SOX10,EGR2,MBP,MPZ",,Myelinating Schwann
any,Brain,Neural Progenitor cells,"CSPG4,RNF5,EOMES,SOX2,SOX1,NES,PAX3,PAX6,OTX2,CNTNAP1,ASCL1,SMARCA4,MSI1,MSI2",,Neural Progenitor
any,Brain,Neural stem cells,"SOX2,PROM1,NES,SOX9",,Neural stem
any,Brain,Neuroblasts,"NEUROD1,DCX,DLX2,PROX1,EOMES,TUBB3",,Neuroblasts
any,Brain,Neuroepithelial cells,"NES,SOX2,NOTCH1,HES1,HES3,CDH1,OCLN,SOX10",,Neuroepithelial
any,Brain,Non myelinating Schwann cells,"SOX10,GAP43,NCAM1,NGFR",,Non myelinating Schwann
any,Brain,Oligodendrocyte precursor cells,"LHFPL3,MEGF11,PCDH15,PDGFRA,CSPG4,RNF5",,Oligodendrocyte precursor
any,Brain,Oligodendrocytes,"OLIG1,OLIG2,OLIG3,CLDN11,MBP,MOG,MAG,GALC,CNP,SOX10,FA2H,UGT8",,Oligodendrocytes
any,Brain,Radial glial cells,"VIM,NES,PAX6,HES1,HES5,GFAP,SLC1A3,FABP7,TNC,CDH2,SOX2",,Radial glial
any,Brain,Schwann precursor cells,"SOX10,GAP43,FABP7,MPZ,DHH,NGFR",,Schwann precursor
any,Brain,Serotonergic neurons,"TPH1,SLC6A4,FEV,HTR1A,HTR1B",,Serotonergic neurons
any,Brain,Tanycytes,"GPR50,COL23A1",,Tanycytes
any,Lung,Airway epithelial cells,"ADH7,AQP1,CDH1,SEC14L3",,Airway epithelial
any,Lung,Airway goblet cells,"AGR2,AQP5,CEACAM1,DMBT1,DUSP4,FXYD3,GALNT5,GALNT6,GGH,GOLPH3,GP2,IL19,LIPF,LTF,LYNX1,MSLN,MUC16,MUC4,MUC5B,NOS2,PIGR,QSOX1,SCGB3A1,SEC23B,SPDEF,TFF2",,Airway goblet
any,Lung,Mesothelial cells,"C2,CALB2,CD44,CDH1,DES,EFEMP1,EPCAM,GSTA3,KRT5,KRT7,KRT72,LGALS7,LRRN4,ME1,ME2,MSLN,MUC16,OSR1,RSPO1,THBD,UPK3B,WT1",,Mesothelial
any,Lung,Fibroblasts,"COL3A1,COL5A2,DPT,FN1,GSN,LRP1,PDGFRA,TCF21",,Fibroblasts
any,Lung,Basal cells (Airway progenitor cells),"ABI3BP,AQP3,DAPL1,GSTM2,HPGD,ICAM1,KRT14,KRT15,KRT5,PHLDA3,RPS18,SDC1",,Basal
any,Lung,Alveolar macrophages,"ABCG1,CCL3,CD36,CLEC7A,CSF2RB,CXCL2,G0S2,GAL,GDA,GNGT2,GPNMB,IL18,IL1B,ITGAX,KLHDC4,MARCO,MCEMP1,MPP1,MRC1,OLR1,PLET1,S100A4,TLR2,TNFAIP2,TRIM25",,Alveolar macrophages
any,Lung,Ciliated cells,"APPL2,ATP5MD,CCDC153,CCDC17,CCDC181,CCDC39,CYP2S1,FAM161A,FOXJ1,LRRC23,ODF3B,SCGB1A1,SEC14L3,SNTN,STK11,TMEM212,TSPAN19,TUBB4B",,Ciliated
any,Lung,Clara cells,"AHR,ALDH1A1,BPIFA1,CTSE,CYP2E1,CYP4B1,ERN1,FOXM1,LEPR,MUC1,MUC4,MUC5B,RAB3D,SCGB1A1,SCGB3A1,SCGB3A2,SFTPA1,SFTPC,SFTPD,SYT2",,Clara
any,Lung,Immune system cells,"ADGRE1,ARG1,BIRC5,CCL17,CCL18,CD14,CD163,CD19,CD22,CD3D,CD3E,CD3G,CD4,CD44,CD5,CD68,CD74,CD80,CD83,CD86,CD8A,CD8B,CDCA3,CDK1,CEBPE,CR2,CSF1R,EAF2,FCER2,FCGR3A,FLT3,GIMAP3P,HLA-DRA,HMMR,IGHM,IL2RA,ITGAE,ITGAM,ITGAX,LAX1,MS4A14,MZB1,NRP1,NUSAP1,PAX5,PRG2,PTPRC,SLPI,THBD,TNFRSF17,TRBC1,XCR1",,Immune system
any,Lung,Endothelial cell,"CD34,EGFL7,EMCN,ESAM,FLT1,KDR,MCAM,PECAM1,RAMP2,TEK,VWF",,Endothelial cell
any,Lung,Epithelial cells,"ANPEP,EPCAM,IL10,IL6R",,Epithelial
any,Lung,Ionocytes,"CFTR,CLCNKB,FOXI1,KCNMA1,SCGB1A1,SLC12A2,TFCP2L1",,Ionocytes
any,Lung,Pulmonary alveolar type I cells,"AGER,AKAP5,AQP3,AQP5,CCN2,CLDN18,CLIC5,COL4A3,COL4A4,CRLF1,CYP4B1,EGFL6,EMP2,FSTL3,GPRC5A,HOPX,ICAM1,IGFBP6,KRT7,MEX3B,MMP11,P2RX7,PDPN,PXDC1,RTKN2,SCNN1A,SCNN1B,SCNN1G,SEC14L3,SEMA3B,SEMA3E,SMARCA1,VEGFA",,AT1
any,Lung,Pulmonary alveolar type II cells,"ABCA3,ADGRF5,AGER,CD36,CD3G,CEBPA,CLDN18,CRLF1,CTNND1,CXCL2,CXCR2,DDX3Y,EGFL6,ETV5,GRK2,IL1B,INMT,IRX1,LAMP3,LPCAT1,LRG1,MUC1,NAPSA,NKX2-1,NRN1,PGC,PIGR,PPBP,PPP1R14C,RUNX3,S100G,SDC1,SFTA2,SFTPA1,SFTPB,SFTPC,SFTPD,SLC34A2,SOAT1",,AT2
any,Lung,Secretory cell,"MUC5B,PIGR,SCGB1A1",,Secretory
