tissueType,tissueType2,cellName,geneSymbolmore1,geneSymbolmore2,shortName
any,Immune system,Effector CD8+ T cells,"CD8,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CD8A,CD8B,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,GNLY,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1","SELL,CCR7",Effector CD8+ T
any,Immune system,Effector CD4+ T cells,"CD4,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1","SELL,CCR7",Effector CD4+ T
any,Immune system,__-T cells,"CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,TRDV2,TRGV9,TRGC1,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1","SELL,CCR7",__-T
any,Immune system,Platelets,"CD41,CD42b,CD61,CD31,PPBP,PF4,GNG11,SDPR,CLU,CD41,CD110",,Platelets
any,Immune system,CD8+ NKT-like cells,"CD8,CD56,CD2,CD16,CD94,CD3D,CD3E,CD3G,CD3Z,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,GNLY,COX6A2,ZMAT4,KIR2DL4",,CD8+ NKT
any,Immune system,CD4+ NKT-like cells,"CD4,CD56,CD2,CD16,CD94,CD3D,CD3E,CD3G,CD3Z,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,COX6A2,ZMAT4,KIR2DL4",,CD4+ NKT
any,Immune system,Natural killer  cells,"CD56,CD2,CD16,CD94,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,FCGR3A,GNLY,COX6A2,ZMAT4,KIR2DL4,NKG7","CD3D,CD3E,CD3G,CD3Z,CD4,CD8",NK
any,Immune system,Eosinophils,"CD11b,CD193,CD123,CD125,CD15,SIGLEC8,CLC,GATA1,CEBPE,SEMG1,ALOX15,CCL23,PRSS41,PRSS33,THBS4,FOXI1",,Eosinophils
any,Immune system,Neutrophils,"CD66b,CD11b,CD15,CD16,CXCL8,FCGR3B,MNDA,CXCR2,MPO,ELANE,PRTN3,MPO,AZU1,LYZ,S100A8,S100A9,PI3,CHI3L1,ANXA3,CXCL1,TGM3,BTNL3,C4BPA,MMP9,CD24,BPI,LTF,GCA,Camp,Ngp,Chil3,Ltf",,Neutrophils
any,Immune system,Basophils,"CD63,CD203c,CD123,CLC,MS4A3,TCN1,CPA3,HDC,GATA2,MS4A2,IL4,GCSAML,GATA2,TPSAB1",,Basophils
any,Immune system,Mast cells,"CD117,CD203c,CD25,KIT,SLC18A2,CD33,CD32,FCER1A,TPSD1,HPGDS",,Mast
any,Immune system,Classical Monocytes,"CD14,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,VCAN,S100A12,CXCL8,S100A8,S100A9,LYZ,CST3,Elane1","CD56,CD16",C_Monocytes
any,Immune system,Non-classical monocytes,"CD14,CD16,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,FCGR3A,CDKN1C,LST1,FCER1G,MS4A7,RHOC,S100A8,S100A9,CST3,C1QC,Elane1",CD56,N_Monocytes
any,Immune system,Intermediate monocytes,"CD14,CD16,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,IL1B,S100A8,S100A9,CST3,C1QC,Elane1",CD56,I_Monocytes
any,Immune system,Macrophages,"CD68,CD163,CD14,CD11b,CD206,CD80,CD86,CD16,CD64,CCL18,CD115,CD11c,CD32,HLA-DR,MRC1,MSR1,GCA,Pf4",CD56,M_
any,Immune system,Megakaryocyte,"CD61,CD41,CD42b,CD41a,CD42a,CXCR4,CD110",,MKs
any,Immune system,Endothelial,"PECAM1,CD34,KDR,CDH5,PROM1,PDPN,TEK,FLT1,VCAM1,PTPRC,VWF,ENG,MCAM,ICAM1,FLT4,SELE",,ECs
any,Immune system,Erythroid-like and erythroid precursor cells,"PTPRC,GYPA,RUVBL1,TFRC,FOLR1,CD36,ITGA4,HBB,CD235a,HBD,CA1",,Es
