,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
33,13555,4254.37731738489,-5.74809862864014,0.195862972376258,-29.3475512951876,2.56777787942601e-189,1.48970022732154e-186,2460,E2f1,1869,E2F1
34,666899,104093.369841047,6.17217654633144,0.211521414579685,29.1799133368893,3.48789455650144e-187,1.96399239071236e-184,524,NA,NA,NA
35,435337,2782.57262683934,-6.71554797159386,0.23117567874826,-29.0495436542301,1.5593565988662e-185,8.52968059579811e-183,1842,Eif1ad7,9086,EIF1AY
36,216987,10314.8107742306,-4.9326404517526,0.170767131837699,-28.8851865032241,1.83263927457672e-183,9.74607747549204e-181,3871,Utp6,55813,UTP6
37,217410,26786.3345774461,-6.63179948771954,0.229625699370042,-28.8809114394133,2.07379796520342e-183,1.07305032550863e-180,4198,Trib2,28951,TRIB2
38,70747,2056.34351559381,-7.10553849979702,0.246748924637614,-28.7966341098852,2.36355474437319e-182,1.19079619950065e-179,4362,Tspan2,10100,TSPAN2
39,67685,16701.5563402987,-7.23552186424133,0.25371141631144,-28.5187082608828,6.86745632867199e-179,3.3712167028827e-176,1978,Dnaaf4,161582,DNAAF4
40,11480,1737.30130422066,7.15163922098509,0.250924658979336,28.501141538162,1.13388443070199e-178,5.42705435644742e-176,5681,Acvr2a,92,ACVR2A
41,75853,3032.40550503157,-5.37747948498304,0.189289395632386,-28.4087730694989,1.57561108741621e-177,7.35733518745935e-175,987,4930592I03Rik,NA,NA
42,232146,3650.87352073407,-6.99275786539861,0.248296929316357,-28.1628849968139,1.6664695239866e-174,7.59632358017226e-172,1768,Eva1a,84141,EVA1A
43,72140,1749.00375956378,-6.90950348487827,0.246080287946155,-28.0782485364701,1.80606361852844e-173,8.04118325040163e-171,2567,Cep89,84902,CEP89
44,66913,3179.50359864786,-4.44947355156448,0.158655669612873,-28.0448442997429,4.61684516761618e-173,2.00885228940936e-170,1850,Kdelr2,11014,KDELR2
45,140475,10256.3623881329,-5.27369088210268,0.189487452830906,-27.831346104002,1.81178338803043e-170,7.7081317697428e-168,2716,Bsnd,7809,BSND
46,625347,2137.55461856141,6.12501535143159,0.220768878179395,27.7440162850058,2.05762910701076e-169,8.56376288124369e-167,981,Gm6578,NA,NA
47,56552,2059.39498084463,-4.80444068460566,0.173595851134332,-27.6760109945709,1.35777137545734e-168,5.53075169853847e-166,2568,Vmn2r26,NA,NA
48,100502997,5412.91683209576,-6.51357947644748,0.236084490342508,-27.5900355292195,1.46539501151426e-167,5.84478906155012e-165,673,NA,NA,NA
49,242286,3705.79595960499,7.35928377060987,0.270187345389309,27.2377070806406,2.32399945698583e-163,9.08019787836608e-161,1181,Sdr16c6,NA,NA
50,109245,2792.46596359594,6.07122013080915,0.223228531501797,27.1973304217175,6.98469676270309e-163,2.67444039043901e-160,5230,Lrrc39,127495,LRRC39
51,675782,1644.97871802337,7.70548835510849,0.283830848293465,27.1481708258203,2.6611070212118e-162,9.98958704335293e-160,975,NA,NA,NA
52,15931,2434.96731447192,-4.87075965991572,0.180316813718793,-27.01223230082,1.06164643354879e-160,3.90869634044067e-158,4973,Ids,3423,IDS
53,320538,1589.56908019516,5.41296413912646,0.202414934375643,26.7419207768585,1.53308023545945e-157,5.53789077507004e-155,14669,Ubn2,254048,UBN2
54,11785,3541.33647943617,6.61479144827404,0.248132273674329,26.6583276343806,1.43299007979965e-156,5.08048056995636e-154,3176,Apbb1,322,APBB1
55,668976,7404.52115010145,-4.95033302206251,0.186069872461003,-26.6046993883979,5.98928871202425e-156,2.08481695257644e-153,522,NA,NA,NA
56,791408,2067.60202355842,5.73279561009568,0.216896712442163,26.4309935616215,6.03538090323632e-154,2.06334584629392e-151,4169,NA,NA,NA
57,67349,3639.349420169,6.75876066252092,0.256029415947237,26.3983755050778,1.43029523386751e-153,4.80403548287605e-151,1018,NA,NA,NA
58,226778,3746.56292710601,-4.54744251673639,0.172545414423194,-26.3550470578319,4.49237184761491e-153,1.48286998314806e-150,4565,Mark1,4139,MARK1
59,76634,8708.24678966098,-6.55208219432253,0.248789940205244,-26.3358003499549,7.46460077142706e-153,2.42219969099951e-150,722,1700110C19Rik,NA,NA
60,16949,7091.58058749095,-4.62434336856,0.176083205397665,-26.262262537284,5.17763452013834e-152,1.65209688146748e-149,3338,Loxl1,4016,LOXL1
61,52685,6680.26707869196,-6.52661983675418,0.249021480647107,-26.2090636510317,2.09487344234751e-151,6.57481181208902e-149,2732,Cd300lg,146894,CD300LG
62,20379,101979.946836493,-5.5296210893781,0.211088575300834,-26.1957383600582,2.97176140092604e-151,9.17651161624661e-149,1760,Sfrp4,6424,SFRP4
63,631002,5672.79515883648,-6.21870717124954,0.245874795650433,-25.2921701665219,3.89509800260399e-141,1.18367700412466e-138,518,NA,NA,NA
64,71349,1146.15050110799,-6.22227250494996,0.246230610326626,-25.2701014577192,6.8108102056263e-141,2.03739002166743e-138,1023,5430427M07Rik,NA,NA
65,116972,1527.07292251415,-7.00013176806212,0.277154545330055,-25.2571422190673,9.45382816342028e-141,2.78451600290279e-138,930,Tlcd3a,79850,TLCD3A
66,107094,3148.47932037863,-5.42624262008218,0.21524071677765,-25.2101122005073,3.10318993733725e-140,9.00160171974571e-138,4320,Rrp12,23223,RRP12
67,442802,8779.35895742764,-7.27099995086774,0.288554822191344,-25.1979845481364,4.21469069625101e-140,1.2043321399959e-137,1880,NA,NA,NA
68,320624,5317.31372338373,8.85507033777854,0.351606630918757,25.1845942570537,5.90869377351105e-140,1.66355797490984e-137,2663,Gm33948,NA,NA
69,18198,31244.5868345299,5.89309393276976,0.234387504228798,25.1425260581179,1.70589841323496e-139,4.73325001759179e-137,3659,Musk,4593,MUSK
70,22095,1068.74696885979,-6.71957402572236,0.267576941020272,-25.1126797402668,3.61554418939389e-139,9.88851335799228e-137,4874,Tshr,7253,TSHR
71,13039,2215.32389671804,4.74169810592465,0.188887222497027,25.1033290830421,4.57400856783444e-139,1.23337174691818e-136,1971,Ctsl,NA,NA
72,77674,4767.88488541142,-5.37009526976605,0.214103696373651,-25.0817494546859,7.86745737608346e-139,2.09197877034886e-136,997,NA,NA,NA
73,12671,5639.07761230657,-4.41563097477138,0.177769412600956,-24.839093014743,3.3921955702682e-136,8.89638139627187e-134,3168,Chrm3,1131,CHRM3
74,100041703,20095.8517474595,8.22668306533037,0.331515671855117,24.815367006015,6.11950381518196e-136,1.58321487218458e-133,207,NA,NA,NA
75,211286,9386.81153089839,5.02465538320316,0.202587984012756,24.8023366622118,8.45935071170626e-136,2.15939025834155e-133,2447,Cln5,1203,CLN5
76,258829,77084.5382716601,-5.74281253788844,0.231878355715141,-24.7664881018192,2.0598117147869e-135,5.18882832626252e-133,939,Olfr134,NA,NA
77,69146,1476.24153434266,-5.0857117956652,0.205431221407151,-24.7562749266124,2.65360219299271e-135,6.59781999803189e-133,1776,Gsdmd,79792,GSDMD
78,67337,5074.57847082171,5.22747383961135,0.21132551615579,24.7365956307786,4.32193456147151e-135,1.06081329717144e-132,1820,Cstf1,1477,CSTF1
79,107976,4497.51110785784,5.95907793159537,0.241401634139794,24.6853255688589,1.53743978346082e-134,3.72585881700727e-132,1460,Babam2,9577,BABAM2
80,217837,1078.0218827341,6.9060955584906,0.280031110495034,24.6618868392234,2.74390858762654e-134,6.56651623876375e-132,2856,Itpk1,3705,ITPK1
81,140579,3946.98757533002,5.55868642123492,0.225529076294996,24.6473160470185,3.93224118108124e-134,9.29416758170375e-132,5871,Elmo2,63916,ELMO2
82,74760,3366.58641445702,8.23971899850699,0.335917854636146,24.5289700585637,7.25238143397273e-133,1.69325417748058e-130,2320,Rab3il1,5866,RAB3IL1
83,353326,1873.77915754649,-6.53099038774805,0.266298509560602,-24.5250730036917,7.98106133233054e-133,1.84093276153576e-130,5235,Rtl1,NA,NA
84,208098,2669.6011033478,5.26351966566331,0.214744702743114,24.510591406577,1.13897915535373e-132,2.59592332491037e-130,2518,Panx3,116337,PANX3
85,545651,2458.67450794163,-5.38888294971363,0.219964478036286,-24.4988781726141,1.51837167639868e-132,3.41990891113563e-130,1462,Gm13278,NA,NA
86,77781,1581.85258682133,6.98745186412392,0.285976756051159,24.4336356583957,7.51226041394841e-132,1.67235146075631e-129,7249,Epm2aip1,9852,EPM2AIP1
87,77627,3377.29632607597,8.7119063157986,0.357821323741172,24.3470853685073,6.22442336010246e-131,1.36973086470301e-128,5111,Efcab6,64800,EFCAB6
88,74919,1392.44931808013,-6.66815524062565,0.274574069147074,-24.2854515043585,2.79303124300781e-130,6.07642990311188e-128,3082,Slc35f6,54978,SLC35F6
89,18747,6568.92573855195,-5.35719084146374,0.22073860966644,-24.2693874422741,4.12794996675532e-130,8.879730574554e-128,2293,Prkaca,5566,PRKACA
90,74597,2307.9211714917,5.51617606320066,0.227545043270889,24.2421279932419,8.00526575792851e-130,1.70289792150601e-127,1530,4833418N02Rik,NA,NA
91,22295,7289.97356607494,-6.00212815620197,0.247680776223246,-24.2333226168186,9.91336558409225e-130,2.08561960557633e-127,11260,Cdh23,64072,CDH23
92,68666,20847.0515176938,-5.91457254998382,0.244354785170876,-24.2048566630188,1.97761125126729e-129,4.1153660223383e-127,3186,Svop,55530,SVOP
93,65247,14911.093393176,-6.25577877074099,0.259571963385255,-24.100363880425,2.47784614729898e-128,5.10089940753106e-126,6072,Asb1,51665,ASB1
94,70408,1306.01789385185,-6.12736324637466,0.254466444189073,-24.0792583316876,4.12345540263817e-128,8.39825039186253e-126,4160,Polr3f,10621,POLR3F
95,100861829,3008.55375783855,8.42785190297812,0.350148496887333,24.0693647920754,5.23455171930615e-128,1.05489992280122e-125,1081,NA,NA,NA
96,244233,6694.6605944494,6.95884881762349,0.289654844192174,24.0246243318706,1.53790927842264e-127,3.06700761827099e-125,3454,Scart1,619207,SCART1
97,109242,864.067356668066,-5.96140005464784,0.248603668161734,-23.9795337644396,4.54743524645197e-127,8.97532451477556e-125,5598,Kif24,347240,KIF24
98,619331,4498.89190614083,-4.53287862876403,0.189134478370892,-23.9664320741937,6.22886804353418e-127,1.216853864219e-124,2336,Zfp551,90233,ZNF551
99,100039210,6489.61741018129,8.45567250826428,0.353585037842738,23.9141128817364,2.18436047640903e-126,4.22420013341928e-124,1208,NA,NA,NA
100,100040894,1974.32203719744,-6.61810195161525,0.27705842340112,-23.8870266796894,4.17798099012832e-126,7.99874460560067e-124,700,Gm16430,50511,SYCP3
101,70769,25279.0601745877,-6.90177114073056,0.289066797636263,-23.8760424828007,5.43362194918604e-126,1.02996724967492e-123,3636,Nolc1,9221,NOLC1
