,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
38,225055,1246.97350427159,-5.12191008286563,0.204097657534159,-25.0953888679903,5.58452640666346e-139,2.81474827017961e-136,4013,Fbxo11,80204,FBXO11
39,226778,2905.87195845559,-4.3454493574151,0.173870370262152,-24.9924662313842,7.38239625204102e-138,3.62551372859851e-135,4565,Mark1,4139,MARK1
40,638251,4007.46944025416,5.20276855445198,0.208597377287947,24.9416777051329,2.62894263256635e-137,1.25880345603858e-134,897,Sult2a7,6822,SULT2A1
41,56551,3050.81845368551,-5.76193921498381,0.231129643966843,-24.9294686570382,3.56623136473147e-137,1.66595193484639e-134,1282,Txn2,25828,TXN2
42,224997,926.23148791261,-5.76438434218731,0.232627906088107,-24.7794189404089,1.4944514672753e-135,6.81505451255328e-133,7986,Dlgap1,9229,DLGAP1
43,19356,6564.1619277558,-5.28184529989888,0.213675748004899,-24.7189741897045,6.68691496759235e-135,2.97847633428596e-132,2847,Rad17,5884,RAD17
44,666207,2201.95923136047,-5.22317557455575,0.211381274425147,-24.7097364170985,8.40503380580027e-135,3.65867301096574e-132,504,Gm7980,NA,NA
45,320624,4723.8660135126,7.60573543678487,0.307867621852772,24.7045642247566,9.55275488213427e-135,4.06586476127817e-132,2663,Gm33948,NA,NA
46,76507,4071.92294344721,-5.07566980305672,0.207058593267564,-24.5132052862827,1.06817858897361e-132,4.4475705466547e-130,2875,Aoc1,26,AOC1
47,100189605,1370.91652025357,-5.62374627844896,0.230186160599693,-24.4312962334385,7.95491328323962e-132,3.2417117896572e-129,878,Mup19,NA,NA
48,100043324,53563.723587794,6.23459308846188,0.256236328515633,24.3314175026572,9.11996990978078e-131,3.63905799337565e-128,724,Bnip3l-ps,NA,NA
49,12192,2118.37884679025,8.45398158998628,0.348109414149826,24.2854150056043,2.79551223736136e-130,1.09270297718739e-127,2984,Zfp36l1,677,ZFP36L1
50,26378,1727.87795888471,5.79971697545819,0.239414556257262,24.2245796000228,1.22567605092515e-129,4.69507468067386e-127,2051,Decr2,26063,DECR2
51,68274,3493.27840847562,4.68758409859557,0.193730039489756,24.1964752133519,2.42315764044722e-129,9.10014476225209e-127,2401,Toporsl,NA,NA
52,214305,3086.18466643817,-5.62600317547013,0.233043676074585,-24.1414110446384,9.19063316236918e-129,3.38515763382417e-126,2605,Hhipl1,84439,HHIPL1
53,26377,7081.67454584487,5.62026001203005,0.233234091271297,24.0970776673149,2.68241933697535e-128,9.69365614360168e-126,3088,Dapp1,27071,DAPP1
54,75424,2885.29876304535,-5.00729844260844,0.208778400827395,-23.9837953675494,4.10491881557787e-127,1.45595389027339e-124,3695,Zfp820,80778,ZNF34
55,68440,24906.9742041607,-7.2811863858725,0.303745167096948,-23.9713653898187,5.533073058803e-127,1.92681724173189e-124,1417,Dusp23,54935,DUSP23
56,211948,1553.83888124398,-6.77038848426818,0.283007523118835,-23.9229982639906,1.76548844397384e-126,6.0382857441841e-124,3529,Pde12,201626,PDE12
57,100316783,568218.873560607,-6.197550744115,0.260528402546281,-23.7883880741719,4.4047553824874e-125,1.48007508492599e-122,122,Mir1b,NA,NA
58,234594,4929.59835910042,4.91863874166274,0.207956753568134,23.6522193065071,1.11985526675397e-123,3.69803240071357e-121,8375,Cnot1,23019,CNOT1
59,13039,1953.34310766431,4.98775537665522,0.212966703618729,23.4203530030906,2.65147794245534e-121,8.60741644607578e-119,1971,Ctsl,NA,NA
60,353326,711.753026461646,-5.28679283669698,0.226040457472962,-23.388701720927,5.56918076016878e-121,1.77777531832521e-118,5235,Rtl1,NA,NA
61,21909,5955.71284049818,-3.76847359158937,0.161785328177305,-23.2930490919387,5.21407727491903e-120,1.63713478764794e-117,1434,Tlx2,3196,TLX2
62,14026,2697.58861516954,-5.19062956486446,0.222930120091971,-23.2836619956202,6.49072205359664e-120,2.00510966923446e-117,2698,Evl,51466,EVL
63,15931,3388.292780366,-5.53879442804384,0.237991427095168,-23.2730838066237,8.30675939524226e-120,2.52538670947738e-117,4973,Ids,3423,IDS
64,21761,1275.39097132836,-5.27488147035863,0.226889921072603,-23.2486372485039,1.46840911312563e-119,4.39444370995237e-117,1983,Morf4l1,10933,MORF4L1
65,100503083,1630.00116623039,-7.40089048633889,0.318954030033445,-23.2036274492686,4.18503015396129e-119,1.23316742367416e-116,626,NA,NA,NA
66,67395,1686.6512084367,-5.89842590523771,0.254304073910451,-23.1943822784166,5.18821507169201e-119,1.50560429194117e-116,904,Ppp1r2-ps9,NA,NA
67,240476,6166.15582007799,5.41413581138696,0.233542448204307,23.1826627365428,6.81177084158239e-119,1.94725144669892e-116,7909,Zfp407,55628,ZNF407
68,100303747,4316.69659108828,-4.51435379233229,0.194848636530527,-23.1685162016775,9.46039901095789e-119,2.66463268024818e-116,124,Gm22884,NA,NA
69,100038949,5537.379519443,-6.28811595155997,0.272011795832103,-23.117070832624,3.11844272892048e-118,8.65616428797302e-116,804,Gm1979,NA,NA
70,244180,2309.96134774503,-5.45660607664648,0.237158314344473,-23.0082849582104,3.85103384198041e-117,1.05369787393501e-114,2253,Olfm5,NA,NA
71,11690,1177.2575825141,-5.70040873807408,0.249043874832101,-22.8891746159874,5.95575735104579e-116,1.60662845837437e-113,854,Alox5ap,241,ALOX5AP
72,27052,1303.65121122187,4.74477147677927,0.209083873942516,22.6931488656259,5.23523102408617e-114,1.39264416394892e-111,2915,Aoah,313,AOAH
73,66913,2499.87571197074,-4.26648173009969,0.188217013676428,-22.6678855793259,9.29526342279074e-114,2.43879699091385e-111,1850,Kdelr2,11014,KDELR2
74,73321,1295.81896718294,-3.97215441839692,0.17560231105196,-22.6201716515085,2.74410344141089e-113,7.10240719099228e-111,1075,1700042O10Rik,NA,NA
75,80893,1678.90192692195,-5.31014054843821,0.235156102685352,-22.5813427242558,6.61096039877445e-113,1.68826299356969e-110,2049,Tmprss5,80975,TMPRSS5
76,73255,13591.3494118988,3.67394429344895,0.163512433808354,22.4688985900303,8.3639767636292e-112,2.10783219676039e-109,1155,1700026J12Rik,NA,NA
77,244219,1551.28654129659,-6.29343118892238,0.280337223715878,-22.449502443888,1.29412018717624e-111,3.21899791493332e-109,3451,Zfp668,79759,ZNF668
